Analyzing frontend...                                           

   info - Use 'const' with the constructor to improve performance - lib\screens\dashboard\admin\kelas_management_view.dart:213:58 - prefer_const_constructors
   info - Don't use 'BuildContext's across async gaps - lib\screens\dashboard\guru\guru_nilai_view.dart:139:33 - use_build_context_synchronously
   info - The local variable '_dec_allPengumpulan' starts with an underscore - lib\screens\dashboard\guru\guru_tugas_detail_screen.dart:38:15 - no_leading_underscores_for_local_identifiers
   info - The variable name '_dec_allPengumpulan' isn't a lowerCamelCase identifier - lib\screens\dashboard\guru\guru_tugas_detail_screen.dart:38:15 - non_constant_identifier_names
   info - The local variable '_dec_allNilai' starts with an underscore - lib\screens\dashboard\guru\guru_tugas_detail_screen.dart:40:15 - no_leading_underscores_for_local_identifiers
   info - The variable name '_dec_allNilai' isn't a lowerCamelCase identifier - lib\screens\dashboard\guru\guru_tugas_detail_screen.dart:40:15 - non_constant_identifier_names
   info - The local variable '_dec_allPengumpulan' starts with an underscore - lib\screens\dashboard\siswa\siswa_tugas_detail_screen.dart:47:15 - no_leading_underscores_for_local_identifiers
   info - The variable name '_dec_allPengumpulan' isn't a lowerCamelCase identifier - lib\screens\dashboard\siswa\siswa_tugas_detail_screen.dart:47:15 - non_constant_identifier_names
   info - The local variable '_dec_allNilai' starts with an underscore - lib\screens\dashboard\siswa\siswa_tugas_detail_screen.dart:49:15 - no_leading_underscores_for_local_identifiers
   info - The variable name '_dec_allNilai' isn't a lowerCamelCase identifier - lib\screens\dashboard\siswa\siswa_tugas_detail_screen.dart:49:15 - non_constant_identifier_names
   info - The local variable '_dec_allData' starts with an underscore - lib\widgets\notification_bell.dart:36:15 - no_leading_underscores_for_local_identifiers
   info - The variable name '_dec_allData' isn't a lowerCamelCase identifier - lib\widgets\notification_bell.dart:36:15 - non_constant_identifier_names

